1,38E+17
1,49E+17
1,62E+17
1,63E+17
1,66E+17
1,34E+17
1,25E+17
5,30E+16
1,57E+16
4,41E+15
3,97E+15
3,39E+15
3,22E+15
3,20E+15
2,92E+15
2,15E+15
2,60E+15
2,76E+15
2,18E+15
2,32E+15
2,52E+15
2,22E+15
2,33E+15
1,81E+15
2,31E+15
2,06E+15
1,92E+15
1,65E+15
1,19E+15
1,09E+15
1,34E+15
1,01E+15
9,16E+14
9,51E+14
1,11E+15
1,21E+15
9,14E+14
7,94E+14
9,41E+14
7,23E+14
8,40E+14
8,01E+14
7,01E+14
8,30E+14
7,34E+14
6,21E+14
6,25E+14
6,47E+14
7,74E+14
6,78E+14
6,60E+14
5,01E+14
5,40E+14
6,43E+14
5,15E+14
4,58E+14
6,56E+14
4,70E+14
6,46E+14
5,77E+14
5,32E+14
5,19E+14
6,84E+14
5,25E+14
6,52E+14
5,06E+14
5,57E+14
4,92E+14
4,66E+14
5,39E+14
6,01E+14
4,89E+14
4,94E+14
4,42E+14
5,81E+14
4,08E+14
3,82E+14
4,03E+14
4,02E+14
3,37E+14
4,11E+14
3,89E+14
4,41E+14
3,67E+14
3,67E+14
3,13E+14
3,45E+14
3,65E+14
3,85E+14
2,82E+14
3,46E+14
3,64E+14
2,92E+14
3,31E+14
2,95E+14
2,82E+14
2,98E+14
2,87E+14
2,61E+14
3,05E+14
3,33E+14
2,95E+14
3,00E+14
2,97E+14
2,37E+14
2,45E+14
2,41E+14
2,72E+14
2,31E+14
2,74E+14
2,92E+14
2,22E+14
2,59E+14
2,58E+14
3,08E+14
2,64E+14
3,34E+14
4,15E+14
3,92E+14
2,61E+14
3,45E+14
4,28E+14
2,50E+14
3,38E+14
3,06E+14
2,36E+14
3,04E+14
2,05E+14
2,79E+14
2,61E+14
2,84E+14
2,68E+14
3,08E+14
3,41E+14
2,41E+14
2,54E+14
2,92E+14
2,61E+14
2,28E+14
2,44E+14
2,03E+14
2,70E+14
1,96E+14
2,84E+14
3,60E+14
2,46E+14
2,19E+14
2,43E+14
3,09E+14
3,06E+14
2,24E+14
2,72E+14
2,38E+14
2,59E+14
2,77E+14
1,85E+14
1,86E+14
2,87E+14
1,70E+14
2,36E+14
2,48E+14
2,12E+14
3,67E+14
2,83E+14
2,08E+14
2,25E+14
1,96E+14
2,10E+14
1,86E+14
2,05E+14
1,68E+14
1,61E+14
2,32E+14
2,26E+14
3,95E+14
2,32E+14
2,03E+14
1,75E+14
2,54E+14
1,71E+14
2,34E+14
1,86E+14
2,24E+14
1,95E+14
2,29E+14
2,67E+14
2,04E+14
2,03E+14
2,61E+14
1,70E+14
2,08E+14
2,52E+14
2,49E+14
2,32E+14
1,77E+14
2,08E+14
2,11E+14
2,96E+14
2,53E+14
3,67E+14
2,22E+14
